year;month;day;day_of_week;gender;births
1994;7;18;1;F;11561
1994;7;19;2;M;12583
1994;7;20;3;F;12378
1994;7;21;4;M;12447
1994;7;22;5;F;12486
1994;7;23;6;M;9463
1994;7;24;7;F;8734
1994;7;25;1;M;11757
1994;7;26;2;F;12591
1994;7;27;3;M;12423
1994;7;28;4;F;12539
1994;7;29;5;M;12231
1994;7;30;6;F;9340
1994;7;31;7;M;8590
1994;8;1;1;F;11428
1994;8;2;2;M;12622
1994;8;3;3;F;12147
1994;8;4;4;M;12601
1994;8;5;5;F;12251
1994;8;6;6;M;9336
1994;8;7;7;F;8517
1994;8;8;1;M;11528
1994;8;9;2;F;12643
1994;8;10;3;M;12525
1994;8;11;4;F;12147
1994;8;12;5;M;12479
1994;8;13;6;F;9474
1994;8;14;7;M;8926
1994;8;15;1;F;11391
1994;8;16;2;M;12605
1994;8;17;3;F;12344
1994;8;18;4;M;12313
1994;8;19;5;F;12227
1994;8;20;6;M;9646
1994;8;21;7;F;8663
1994;8;22;1;M;11489
1994;8;23;2;F;12284
1994;8;24;3;M;12176
1994;8;25;4;F;12076
1994;8;26;5;M;12122
1994;8;27;6;F;9171
1994;8;28;7;M;8779
1994;8;29;1;F;11560
1994;8;30;2;M;12431
1994;8;31;3;F;12272
1994;9;1;4;M;12183
1994;9;2;5;F;12099
1994;9;3;6;M;9042
1994;9;4;7;F;8420
1994;9;5;1;M;8378
1994;9;6;2;F;11448
1994;9;7;3;M;12660
1994;9;8;4;F;12693
1994;9;9;5;M;12811
1994;9;10;6;F;9424
1994;9;11;7;M;8373
1994;9;12;1;F;11500
1994;9;13;2;M;12560
1994;9;14;3;F;12566
1994;9;15;4;M;12655
1994;9;16;5;F;12884
1994;9;17;6;M;9779
1994;9;18;7;F;8603
1994;9;19;1;M;11659
1994;9;20;2;F;12584
1994;9;21;3;M;12468
1994;9;22;4;F;12590
1994;9;23;5;M;12522
1994;9;24;6;F;9597
1994;9;25;7;M;8754
1994;9;26;1;F;11597
1994;9;27;2;M;12591
1994;9;28;3;F;12405
1994;9;29;4;M;12288
1994;9;30;5;F;12090
1994;10;1;6;M;9351
1994;10;2;7;F;8477
1994;10;3;1;M;11437
1994;10;4;2;F;12378
1994;10;5;3;M;12061
1994;10;6;4;F;12017
1994;10;7;5;M;12050
1994;10;8;6;F;8981
1994;10;9;7;M;8038
1994;10;10;1;F;11110
1994;10;11;2;M;12236
1994;10;12;3;F;11846
1994;10;13;4;M;11398
1994;10;14;5;F;11959
1994;10;15;6;M;9077
1994;10;16;7;F;8022
1994;10;17;1;M;11127
1994;10;18;2;F;11888
1994;10;19;3;M;11533
1994;10;20;4;F;11876
1994;10;21;5;M;11562
1994;10;22;6;F;9086
1994;10;23;7;M;7914
1994;10;24;1;F;11068
1994;10;25;2;M;12019
1994;10;26;3;F;11683
1994;10;27;4;M;11420
1994;10;28;5;F;11608
1994;10;29;6;M;8855
1994;10;30;7;F;8262
1994;10;31;1;M;9833
1994;11;1;2;F;12316
1994;11;2;3;M;11736
1994;11;3;4;F;11703
1994;11;4;5;M;11956
1994;11;5;6;F;8826
1994;11;6;7;M;8100
1994;11;7;1;F;11283
1994;11;8;2;M;11999
1994;11;9;3;F;11811
1994;11;10;4;M;11728
1994;11;11;5;F;11533
1994;11;12;6;M;8672
1994;11;13;7;F;8093
1994;11;14;1;M;11044
1994;11;15;2;F;11985
1994;11;16;3;M;11634
1994;11;17;4;F;11703
1994;11;18;5;M;11826
1994;11;19;6;F;8771
1994;11;20;7;M;8133
1994;11;21;1;F;11807
1994;11;22;2;M;12764
1994;11;23;3;F;11332
1994;11;24;4;M;8036
1994;11;25;5;F;9419
1994;11;26;6;M;8427
1994;11;27;7;F;7937
1994;11;28;1;M;11003
1994;11;29;2;F;12177
1994;11;30;3;M;11643
1994;12;1;4;F;11681
1994;12;2;5;M;11379
1994;12;3;6;F;8585
1994;12;4;7;M;7980
1994;12;5;1;F;10772
1994;12;6;2;M;11923
1994;12;7;3;F;11335
1994;12;8;4;M;11337
1994;12;9;5;F;11205
1994;12;10;6;M;8461
1994;12;11;7;F;7936
1994;12;12;1;M;11106
1994;12;13;2;F;11884
1994;12;14;3;M;11716
1994;12;15;4;F;11962
1994;12;16;5;M;12144
1994;12;17;6;F;8726
1994;12;18;7;M;8130
1994;12;19;1;F;11502
1994;12;20;2;M;12880
1994;12;21;3;F;12391
1994;12;22;4;M;11504
1994;12;23;5;F;10087
1994;12;24;6;M;7898
1994;12;25;7;F;7192
1994;12;26;1;M;8454
1994;12;27;2;F;11131
1994;12;28;3;M;12398
1994;12;29;4;F;12189
1994;12;30;5;M;12051
1994;12;31;6;F;8809
1995;1;1;7;M;7828
1995;1;2;1;F;7883
1995;1;3;2;M;9999
1995;1;4;3;F;11315
1995;1;5;4;M;11243
1995;1;6;5;F;11506
1995;1;7;6;M;8681
1995;1;8;7;F;7821
1995;1;9;1;M;10434
1995;1;10;2;F;11665
1995;1;11;3;M;11279
1995;1;12;4;F;11416
1995;1;13;5;M;11071
1995;1;14;6;F;8887
1995;1;15;7;M;7988
1995;1;16;1;F;10417
1995;1;17;2;M;11345
1995;1;18;3;F;11252
1995;1;19;4;M;11331
1995;1;20;5;F;11481
1995;1;21;6;M;8746
1995;1;22;7;F;7956
1995;1;23;1;M;10640
1995;1;24;2;F;11344
1995;1;25;3;M;11096
1995;1;26;4;F;11380
1995;1;27;5;M;11340
1995;1;28;6;F;8781
1995;1;29;7;M;8009
1995;1;30;1;F;10515
1995;1;31;2;M;11364
1995;2;1;3;F;11279
1995;2;2;4;M;11490
1995;2;3;5;F;11264
1995;2;4;6;M;8769
1995;2;5;7;F;8017
1995;2;6;1;M;10587
1995;2;7;2;F;11483
1995;2;8;3;M;11205
1995;2;9;4;F;11282
1995;2;10;5;M;11615
1995;2;11;6;F;8949
1995;2;12;7;M;8007
1995;2;13;1;F;10351
1995;2;14;2;M;12454
1995;2;15;3;F;11828
1995;2;16;4;M;11657
1995;2;17;5;F;11625
1995;2;18;6;M;8788
1995;2;19;7;F;8038
1995;2;20;1;M;10258
1995;2;21;2;F;11582
1995;2;22;3;M;11716
1995;2;23;4;F;11786
1995;2;24;5;M;11671
1995;2;25;6;F;8829
1995;2;26;7;M;8183
1995;2;27;1;F;10702
1995;2;28;2;M;11679
1995;3;1;3;F;11540
1995;3;2;4;M;11377
1995;3;3;5;F;11649
1995;3;4;6;M;8807
1995;3;5;7;F;7984
1995;3;6;1;M;10810
1995;3;7;2;F;12115
1995;3;8;3;M;11618
1995;3;9;4;F;11380
1995;3;10;5;M;11827
1995;3;11;6;F;8744
1995;3;12;7;M;7859
1995;3;13;1;F;10609
1995;3;14;2;M;11750
1995;3;15;3;F;11736
1995;3;16;4;M;11751
1995;3;17;5;F;11953
1995;3;18;6;M;8538
1995;3;19;7;F;7787
1995;3;20;1;M;10588
1995;3;21;2;F;11837
1995;3;22;3;M;11485
1995;3;23;4;F;11435
1995;3;24;5;M;11329
1995;3;25;6;F;8628
1995;3;26;7;M;7614
1995;3;27;1;F;10541
1995;3;28;2;M;11563
1995;3;29;3;F;11125
1995;3;30;4;M;11205
1995;3;31;5;F;11319
1995;4;1;6;M;8398
1995;4;2;7;F;7547
1995;4;3;1;M;10651
1995;4;4;2;F;11960
1995;4;5;3;M;11475
